atr_mult,tp_mult,ema_fast,ema_slow,vol_mult,Return [%]
3.5,3.0,10,40,2.0,3.066118877181925
3.5,3.0,10,50,1.0,-3.5744774751281327
3.5,3.0,10,50,1.5,3.0629004547118894
3.5,3.0,10,50,2.0,3.079057731780922
3.5,3.0,10,60,1.0,-4.6734093386077795
3.5,3.0,10,60,1.5,2.1760440936278975
3.5,3.0,10,60,2.0,2.7392354653929942
3.5,3.0,15,40,1.0,-4.14273315254206
3.5,3.0,15,40,1.5,2.6908494926452295
3.5,3.0,15,40,2.0,3.079057731780922
3.5,3.0,15,50,1.0,-4.967072908248901
3.5,3.0,15,50,1.5,2.0691962441253238
3.5,3.0,15,50,2.0,2.7392354653929942
3.5,3.0,15,60,1.0,-4.878220866851807
3.5,3.0,15,60,1.5,1.3242741617584033
3.5,3.0,15,60,2.0,2.1097145006560822
3.5,4.0,5,40,1.0,-0.8481346241760002
3.5,4.0,5,40,1.5,1.9648301776886183
3.5,4.0,5,40,2.0,-1.780042601699879
3.5,4.0,5,50,1.0,-4.92346784507752
3.5,4.0,5,50,1.5,-2.718557639236424
3.5,4.0,5,50,2.0,-1.3143015366363944
3.5,4.0,5,60,1.0,-4.985788777999878
3.5,4.0,5,60,1.5,-2.718557639236424
3.5,4.0,5,60,2.0,-1.895646765136753
3.5,4.0,10,40,1.0,-6.918076414413463
3.5,4.0,10,40,1.5,-3.757858141784691
3.5,4.0,10,40,2.0,-1.3143015366363944
3.5,4.0,10,50,1.0,-7.04483605834961
3.5,4.0,10,50,1.5,-2.9863704489898737
3.5,4.0,10,50,2.0,-1.4778194944000642
3.5,4.0,10,60,1.0,-8.006952601089507
3.5,4.0,10,60,1.5,-3.800605813369748
3.5,4.0,10,60,2.0,-1.895646765136753
3.5,4.0,15,40,1.0,-7.03124038017273
3.5,4.0,15,40,1.5,-3.8662072128296128
3.5,4.0,15,40,2.0,-1.4778194944000642
3.5,4.0,15,50,1.0,-8.259093599700956
3.5,4.0,15,50,1.5,-4.026628217773432
3.5,4.0,15,50,2.0,-1.895646765136753
3.5,4.0,15,60,1.0,-8.195730141830463
3.5,4.0,15,60,1.5,-1.0817400617218118
3.5,4.0,15,60,2.0,-2.8696454917907976
3.5,5.0,5,40,1.0,-3.6600933277130023
3.5,5.0,5,40,1.5,-1.2178654091644057
3.5,5.0,5,40,2.0,-1.9690618771362645
3.5,5.0,5,50,1.0,-3.7353044114684963
3.5,5.0,5,50,1.5,-0.4231812535095014
3.5,5.0,5,50,2.0,-1.9690618771362645
3.5,5.0,5,60,1.0,-3.7976253443908536
3.5,5.0,5,60,1.5,-0.4231812535095014
3.5,5.0,5,60,2.0,-2.2147723489380224
3.5,5.0,10,40,1.0,-4.08298280944824
3.5,5.0,10,40,1.5,-1.7503364859008799
3.5,5.0,10,40,2.0,-1.9690618771362645
3.5,5.0,10,50,1.0,-4.212296007919304
3.5,5.0,10,50,1.5,-0.7842955158996483
3.5,5.0,10,50,2.0,-2.2147723489380224
3.5,5.0,10,60,1.0,-5.11094350357058
3.5,5.0,10,60,1.5,-1.6761528723907393
3.5,5.0,10,60,2.0,-2.2147723489380224
3.5,5.0,15,40,1.0,-4.196146775207508
3.5,5.0,15,40,1.5,-1.960963580322259
3.5,5.0,15,40,2.0,-2.2147723489380224
3.5,5.0,15,50,1.0,-5.4102519886779925
3.5,5.0,15,50,1.5,-2.150712048797577
3.5,5.0,15,50,2.0,-2.2147723489380224
3.5,5.0,15,60,1.0,-5.325675723571785
3.5,5.0,15,60,1.5,-1.8864186115264236
3.5,5.0,15,60,2.0,-2.9553453021240057
3.5,6.0,5,40,1.0,5.488892327804588
