lookback,exit_lookback,atr_stop_mult,Sharpe Ratio
35,23,2.0,1.097288248122758
35,23,2.5,1.097288248122758
35,23,3.0,1.097288248122758
40,3,1.0,0.9851954973437212
40,3,1.5,0.9851954973437212
40,3,2.0,0.9851954973437212
40,3,2.5,0.9851954973437212
40,3,3.0,0.9851954973437212
40,5,1.0,1.029453593710025
40,5,1.5,1.029453593710025
40,5,2.0,1.029453593710025
40,5,2.5,1.029453593710025
40,5,3.0,1.029453593710025
40,7,1.0,1.0547071510770842
40,7,1.5,1.0547071510770842
40,7,2.0,1.0547071510770842
40,7,2.5,1.0547071510770842
40,7,3.0,1.0547071510770842
40,9,1.0,1.0464245511121977
40,9,1.5,1.0464245511121977
40,9,2.0,1.0464245511121977
40,9,2.5,1.0464245511121977
40,9,3.0,1.0464245511121977
40,11,1.0,1.0440565746239006
40,11,1.5,1.0440565746239006
40,11,2.0,1.0440565746239006
40,11,2.5,1.0440565746239006
40,11,3.0,1.0440565746239006
40,13,1.0,0.9542221223305042
40,13,1.5,0.9542221223305042
40,13,2.0,0.9542221223305042
40,13,2.5,0.9542221223305042
40,13,3.0,0.9542221223305042
40,15,1.0,1.0247136087855193
40,15,1.5,1.0247136087855193
40,15,2.0,1.0247136087855193
40,15,2.5,1.0247136087855193
40,15,3.0,1.0247136087855193
40,17,1.0,1.0117119482695442
40,17,1.5,1.0117119482695442
40,17,2.0,1.0117119482695442
40,17,2.5,1.0117119482695442
40,17,3.0,1.0117119482695442
40,19,1.0,0.991376121455339
40,19,1.5,0.991376121455339
40,19,2.0,0.991376121455339
40,19,2.5,0.991376121455339
40,19,3.0,0.991376121455339
40,21,1.0,0.9589060909961838
40,21,1.5,0.9589060909961838
40,21,2.0,0.9589060909961838
40,21,2.5,0.9589060909961838
40,21,3.0,0.9589060909961838
40,23,1.0,0.9973764225181289
40,23,1.5,0.9973764225181289
40,23,2.0,0.9973764225181289
40,23,2.5,0.9973764225181289
40,23,3.0,0.9973764225181289
45,3,1.0,1.0844908885189095
45,3,1.5,1.0844908885189095
45,3,2.0,1.0844908885189095
45,3,2.5,1.0844908885189095
45,3,3.0,1.0844908885189095
45,5,1.0,1.090638928609345
45,5,1.5,1.090638928609345
45,5,2.0,1.090638928609345
45,5,2.5,1.090638928609345
45,5,3.0,1.090638928609345
45,7,1.0,1.0859461086881212
45,7,1.5,1.0859461086881212
45,7,2.0,1.0859461086881212
45,7,2.5,1.0859461086881212
45,7,3.0,1.0859461086881212
45,9,1.0,1.0913413201814985
45,9,1.5,1.0913413201814985
45,9,2.0,1.0913413201814985
45,9,2.5,1.0913413201814985
45,9,3.0,1.0913413201814985
45,11,1.0,1.0992619344102181
45,11,1.5,1.0992619344102181
45,11,2.0,1.0992619344102181
45,11,2.5,1.0992619344102181
45,11,3.0,1.0992619344102181
45,13,1.0,1.090548512370073
45,13,1.5,1.090548512370073
45,13,2.0,1.090548512370073
45,13,2.5,1.090548512370073
45,13,3.0,1.090548512370073
