lookback_entry,lookback_exit,atr_multiplier,use_trend_filter,return,trades,win_rate,sharpe,max_dd,profit_factor
15,12,2.0,False,1.2558282633690396,7,28.57142857142857,0.061935346387920795,-18.427936550020473,1.220192396424142
30,10,0.5,False,1.1836234870111366,7,28.57142857142857,0.09509438539293713,-8.55214401614398,1.1832780061957504
10,3,1.5,False,0.9729770079939772,17,41.17647058823529,0.053304170089678485,-15.845730197225905,1.0815475805464474
20,5,0.5,True,0.9379620108566451,11,27.27272727272727,0.1109950503926232,-7.55825548592064,1.1289146057694541
20,10,2.5,True,0.9336153164432471,7,28.57142857142857,0.08692441413264605,-13.20677989136515,1.1515115181415165
20,3,0.5,True,0.8962986534725496,11,27.27272727272727,0.10858620585365714,-7.56114054808783,1.1246433936835283
25,10,1.0,True,0.817919938910727,7,28.57142857142857,0.09397233019444334,-8.742013227473155,1.118022985094144
15,10,1.0,True,0.7328513889026362,9,22.22222222222222,0.07227889070150857,-14.170130740242593,1.1324444948453973
10,5,2.0,False,0.7126994186790216,14,50.0,0.035906199263876254,-11.342810565970696,1.0880734796508928
10,7,2.0,False,0.666151306117572,13,46.15384615384615,0.03300614100194448,-12.338276469827058,1.0971836325645583
5,10,1.5,False,0.6113147199625564,16,25.0,0.0296798698392275,-17.091125360660687,1.02900398998909
25,7,2.0,True,0.5952629672127113,7,42.857142857142854,0.06130648323511627,-11.841616866754157,1.0854353988232173
5,12,2.5,True,0.5949087412418885,6,16.666666666666664,0.04409489425217466,-16.68205584132364,1.1452095294374147
15,12,2.5,False,0.5364930968018597,7,28.57142857142857,0.02648943985341642,-19.65009547368981,1.2132329766466945
10,10,2.0,False,0.5326342401988404,12,25.0,0.026408063151133535,-14.255759625326913,1.127492739830105
15,5,0.5,True,0.33028619786835406,12,25.0,0.039215092728658495,-8.114781604860966,1.0593821244265536
20,7,0.5,True,0.29829801252039034,11,27.27272727272727,0.034070183359475134,-8.513882376575843,1.0680707970570378
15,3,0.5,True,0.2886228404842586,12,25.0,0.03507869367274601,-8.117879098647318,1.055373986246447
5,3,1.5,False,0.28235366923378025,22,40.909090909090914,0.01471430886441013,-14.039302712833667,0.9838122255886501
30,7,1.0,True,0.15822632910609175,7,42.857142857142854,0.01953835476792124,-8.525396662523367,1.0570168682701537
25,10,0.5,False,0.14349789658605006,8,25.0,0.011527062556547913,-9.637383446647995,1.0556890393988454
25,7,2.5,True,-0.06214005414167332,7,42.857142857142854,-0.0064589465117343165,-12.417743273903204,1.0371272537330505
30,15,2.0,False,-0.12818894027084754,4,25.0,-0.007286114747468286,-13.267595862091408,1.085537638331315
30,12,2.0,False,-0.12818894027084754,4,25.0,-0.007286114747468286,-13.267595862091408,1.085537638331315
20,7,1.0,True,-0.1300566908003202,9,33.33333333333333,-0.013489633714830158,-12.798039475121904,1.0244393901191788
20,15,1.5,False,-0.16158200377974938,6,16.666666666666664,-0.00943651415401606,-14.178420979317675,1.1149260640995566
20,12,1.5,False,-0.16158200377974938,6,16.666666666666664,-0.00943651415401606,-14.178420979317675,1.1149260640995566
10,10,2.0,True,-0.19363665359760487,9,22.22222222222222,-0.0178705859381083,-14.176108375705176,1.059199381018583
5,7,2.0,False,-0.20082081463810028,16,37.5,-0.009805868538685397,-14.349320317663528,0.9794732599523512
15,7,0.5,True,-0.21277742085103454,12,25.0,-0.024392618149786452,-8.980054865425291,1.008308106904023
20,7,2.0,True,-0.3271074208404571,8,37.5,-0.03198253187524713,-12.3526863343826,1.0132808495834953
20,7,2.5,True,-0.33670161168867707,8,37.5,-0.0330962638511787,-12.361122981828876,1.0125936926589132
10,5,0.5,True,-0.5578061678426638,14,21.428571428571427,-0.06352507236498875,-8.928120867319356,0.9609058774385423
10,3,0.5,True,-0.5994695252267592,14,21.428571428571427,-0.06972559378548973,-8.931528820885681,0.9572703209702519
30,10,2.0,True,-0.6248994949854387,6,33.33333333333333,-0.06929894291458358,-10.626410362758786,1.0097353435212377
30,10,1.5,True,-0.6596223716804344,6,33.33333333333333,-0.07382170469562839,-10.974413405425276,0.9956800976187455
5,3,2.0,False,-0.6651007200895037,21,42.857142857142854,-0.03504114056383289,-14.153884457984523,0.9527286713724098
5,10,2.5,False,-0.7321876115678787,11,36.36363636363637,-0.03640893381127369,-17.453882862723734,1.0630433145393572
