lookback,exit_lookback,atr_stop_mult,score
27,8,2.0,6.32109490722658
27,8,3.0,6.32109490722658
27,8,4.0,6.32109490722658
27,8,5.0,6.32109490722658
27,9,1.0,6.496693862304692
27,9,2.0,6.496693862304692
27,9,3.0,6.496693862304692
27,9,4.0,6.496693862304692
27,9,5.0,6.496693862304692
29,2,1.0,9.956979410095228
29,2,2.0,9.956979410095228
29,2,3.0,9.956979410095228
29,2,4.0,9.956979410095228
29,2,5.0,9.956979410095228
29,3,1.0,8.513910458984373
29,3,2.0,8.513910458984373
29,3,3.0,8.513910458984373
29,3,4.0,8.513910458984373
29,3,5.0,8.513910458984373
29,4,1.0,8.001303725585949
29,4,2.0,8.001303725585949
29,4,3.0,8.001303725585949
29,4,4.0,8.001303725585949
29,4,5.0,8.001303725585949
29,5,1.0,6.960377729492211
29,5,2.0,6.960377729492211
29,5,3.0,6.960377729492211
29,5,4.0,6.960377729492211
29,5,5.0,6.960377729492211
29,6,1.0,6.808450175781272
29,6,2.0,6.808450175781272
29,6,3.0,6.808450175781272
29,6,4.0,6.808450175781272
29,6,5.0,6.808450175781272
29,7,1.0,7.410877612304703
29,7,2.0,7.410877612304703
29,7,3.0,7.410877612304703
29,7,4.0,7.410877612304703
29,7,5.0,7.410877612304703
29,8,1.0,6.399673686523457
29,8,2.0,6.399673686523457
29,8,3.0,6.399673686523457
29,8,4.0,6.399673686523457
29,8,5.0,6.399673686523457
29,9,1.0,6.575272641601569
29,9,2.0,6.575272641601569
29,9,3.0,6.575272641601569
29,9,4.0,6.575272641601569
29,9,5.0,6.575272641601569
31,2,1.0,10.253490240478513
31,2,2.0,10.253490240478513
31,2,3.0,10.253490240478513
31,2,4.0,10.253490240478513
31,2,5.0,10.253490240478513
31,3,1.0,8.730545368652347
31,3,2.0,8.730545368652347
31,3,3.0,8.730545368652347
31,3,4.0,8.730545368652347
31,3,5.0,8.730545368652347
31,4,1.0,8.103950361328152
31,4,2.0,8.103950361328152
31,4,3.0,8.103950361328152
31,4,4.0,8.103950361328152
31,4,5.0,8.103950361328152
31,5,1.0,6.754071137695318
31,5,2.0,6.754071137695318
31,5,3.0,6.754071137695318
31,5,4.0,6.754071137695318
31,5,5.0,6.754071137695318
31,6,1.0,6.602143583984398
31,6,2.0,6.602143583984398
31,6,3.0,6.602143583984398
31,6,4.0,6.602143583984398
31,6,5.0,6.602143583984398
31,7,1.0,7.204571020507829
31,7,2.0,7.204571020507829
31,7,3.0,7.204571020507829
31,7,4.0,7.204571020507829
31,7,5.0,7.204571020507829
31,8,1.0,6.1933670947265815
31,8,2.0,6.1933670947265815
31,8,3.0,6.1933670947265815
31,8,4.0,6.1933670947265815
31,8,5.0,6.1933670947265815
