lookback,exit_lookback,atr_stop_mult,score
65,4,1.5,2.5754498679973565
65,4,2.0,2.5754498679973565
65,4,2.5,2.5754498679973565
65,5,1.0,5.727804078092769
65,5,1.5,5.727804078092769
65,5,2.0,5.727804078092769
65,5,2.5,5.727804078092769
65,6,1.0,4.6116171656406175
65,6,1.5,4.6116171656406175
65,6,2.0,4.6116171656406175
65,6,2.5,4.6116171656406175
65,7,1.0,2.9187573193629657
65,7,1.5,2.9187573193629657
65,7,2.0,2.9187573193629657
65,7,2.5,2.9187573193629657
65,8,1.0,2.7603419337536437
65,8,1.5,2.7603419337536437
65,8,2.0,2.7603419337536437
65,8,2.5,2.7603419337536437
65,9,1.0,2.432661345786601
65,9,1.5,2.432661345786601
65,9,2.0,2.432661345786601
65,9,2.5,2.432661345786601
65,10,1.0,3.3385943977862915
65,10,1.5,3.3385943977862915
65,10,2.0,3.3385943977862915
65,10,2.5,3.3385943977862915
65,11,1.0,3.284651251864126
65,11,1.5,3.284651251864126
65,11,2.0,3.284651251864126
65,11,2.5,3.284651251864126
65,12,1.0,3.5899983312269415
65,12,1.5,3.5899983312269415
65,12,2.0,3.5899983312269415
65,12,2.5,3.5899983312269415
65,13,1.0,3.9268736258916106
65,13,1.5,3.9268736258916106
65,13,2.0,3.9268736258916106
65,13,2.5,3.9268736258916106
65,14,1.0,4.021432804417518
65,14,1.5,4.021432804417518
